trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
220,False,"{'a': 0.25, 'e': 0.10958290556334815}",20,4,24.822844207192418,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.25, 'e': 0.10848707650771466}",20,8,-11.638992957020115,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
222,False,"{'a': 0.25, 'e': 0.10740220574263752}",20,5,28.211709045931226,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.25, 'e': 0.10632818368521114}",30,8,24.38166315707577,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.25, 'e': 0.10526490184835903}",35,13,39.5162635660534,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.25, 'e': 0.10421225282987544}",20,13,9.324786227692588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.25, 'e': 0.10317013030157668}",20,13,-10.07356924186244,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
227,False,"{'a': 0.25, 'e': 0.10213842899856092}",20,16,8.943244302857641,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.25, 'e': 0.10111704470857531}",25,16,7.765385270202342,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.25, 'e': 0.10010587426148955}",30,8,8.91633965339832,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
230,False,"{'a': 0.25, 'e': 0.09910481551887466}",25,3,38.6239497717658,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.25, 'e': 0.0981137673636859}",30,13,29.167461070321217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.25, 'e': 0.09713262969004906}",25,11,28.42903276668366,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.25, 'e': 0.09616130339314856}",20,12,13.549848410159315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.25, 'e': 0.09519969035921708}",20,12,13.803276244828671,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.25, 'e': 0.0942476934556249}",20,10,5.929504524893643,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.25, 'e': 0.09330521652106866}",35,15,35.7763648049648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.25, 'e': 0.09237216435585796}",30,16,22.599805690021157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.25, 'e': 0.09144844271229938}",30,17,14.523479837697787,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.25, 'e': 0.0905339582851764}",25,16,-2.5727282262503737,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.25, 'e': 0.08962861870232462}",25,14,17.58197290465659,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.25, 'e': 0.08873233251530138}",25,13,23.042342186956006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.25, 'e': 0.08784500919014836}",20,8,23.85667900861203,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
